gvkey,fyear,fic,sic,at,seq,price,shares,profit,roa,mktcap,pb,roa_w,pb_w,common_law,sic2
100435,2022,JPN,5000,13111652,4819511,4146,188.849,800519,0.06105401516147622,782967.9539999999,0.16245796596376685,0.06105401516147622,0.16245796596376685,0,50
100439,2022,JPN,4911,4040048,447488,675,111.662,-155378,-0.03845944404620935,75371.85,0.168433231729119,-0.03845944404620935,0.168433231729119,0,49
100441,2022,JPN,2834,1869758,1424386,3368,83.575,374429,0.2002553271599854,281480.60000000003,0.19761539358011104,0.2002553271599854,0.19761539358011104,0,28
100444,2022,JPN,2600,1666542,394654,975,161.085,-50406,-0.03024586239050681,157057.875,0.39796346926675014,-0.03024586239050681,0.39796346926675014,0,26
100450,2022,JPN,4911,6455102,2060811,1362,182.408,38231,0.005922601997613671,248439.696,0.12055433322124154,0.005922601997613671,0.12055433322124154,0,49
100461,2022,AUS,7359,7931.7,2451.1,12.07,72.479,571.7,0.07207786477047796,874.82153,0.3569097670433683,0.07207786477047796,0.3569097670433683,1,73
100486,2022,JPN,3827,1050267,614966,1176,41.847,44944,0.04279292789357373,49212.072,0.0800240533622997,0.04279292789357373,0.0800240533622997,0,38
100488,2022,JPN,4911,5603678,582064,744,123.836,-56429,-0.010069993315104829,92133.984,0.15828840814755765,-0.010069993315104829,0.15828840814755765,0,49
100490,2022,JPN,3861,1413777,487425,527,116.717,-103153,-0.07296270911183306,61509.859,0.12619348412576292,-0.07296270911183306,0.12619348412576292,0,38
100491,2022,JPN,3560,1441355,667235,929,24.142,34276,0.023780401080927323,22427.917999999998,0.03361322172847647,0.023780401080927323,0.03361322172847647,0,35
100516,2022,JPN,2834,939881,762826,3020,27.795,53573,0.05699976911970771,83940.90000000001,0.11003937988479681,0.05699976911970771,0.11003937988479681,0,28
100519,2022,JPN,3570,850486,596620,2007,15.449,39082,0.045952549483471807,31006.143,0.05196966746002481,0.045952549483471807,0.05196966746002481,0,35
100526,2022,JPN,5311,1217308,547008,1437,274.983,32377,0.02659721286642329,395150.571,0.722385359994735,0.02659721286642329,0.722385359994735,0,53
100991,2022,JPN,3661,35316,24177,772,5.662,-1181,-0.03344093328802809,4371.064,0.1807943086404434,-0.03344093328802809,0.1807943086404434,0,36
100545,2022,JPN,5000,7953604,2877747,1515,238.862,543001,0.06827106303004274,361875.93,0.1257497375551082,0.06827106303004274,0.1257497375551082,0,50
100548,2022,JPN,3711,3259251,1440073,1005,116.336,142814,0.043818042857085876,116917.68,0.08118871751640368,0.043818042857085876,0.08118871751640368,0,37
100555,2022,JPN,5099,22152882,8071021,4283,404.144,1180694,0.05329753483090823,1730948.752,0.21446465719764576,0.05329753483090823,0.21446465719764576,0,50
100563,2022,JPN,2810,1029317,607613,1823,34.179,49085,0.047686961353985216,62308.317,0.10254605645369669,0.047686961353985216,0.10254605645369669,0,28
100565,2022,JPN,3360,1891795,593326,2084,75.437,20330,0.010746407512441887,157210.70799999998,0.26496514226580326,0.010746407512441887,0.26496514226580326,0,33
100569,2022,JPN,4220,573689,350798,3030,5.72,27226,0.047457768930552965,17331.6,0.04940621098181859,0.047457768930552965,0.04940621098181859,0,42
100574,2022,JPN,4412,3564247,1925897,3290,320.06,796060,0.22334591289548675,1052997.4,0.546756861867483,0.21672848031447423,0.546756861867483,0,44
100638,2022,JPN,1600,343727,172015,2985,18.464,11261,0.03276146476709715,55115.03999999999,0.3204083364822835,0.03276146476709715,0.3204083364822835,0,16
100639,2022,JPN,2082,639118,166310,3280,72.038,5450,0.00852737679114029,236284.63999999998,1.4207482412362455,0.00852737679114029,1.4207482412362455,0,20
