"costat","curcd","datafmt","indfmt","consol","gvkey","fyear","conm","sic","at","seq","ni","csho","prcc_f","ROA","MarketCap","PB","ROA_w","PB_w"
"A","USD","STD","INDL","C",1794,2023,"ASHLAND INC",2820,5939,3097,178,51,81.68,0.0299713756524667,4165.68,1.34506942202131,0.0299713756524667,1.34506942202131
"A","USD","STD","INDL","C",1820,2023,"ASTRONOVA INC",3577,133.251,90.282,4.694,7.443,17.63,0.0352267525196809,131.22009,1.45344686648501,0.0352267525196809,1.45344686648501
"A","USD","STD","INDL","C",1823,2023,"ASTRONICS CORP",3640,633.792,249.518,-26.421,34.521,17.42,-0.04168717812784,601.35582,2.41006989475709,-0.04168717812784,2.41006989475709
"A","USD","STD","INDL","C",1864,2023,"REX AMERICAN RESOURCES CORP",2860,664.802,513.918,60.935,17.504,41.39,0.0916588698589956,724.49056,1.40973960826435,0.0916588698589956,1.40973960826435
"A","USD","STD","INDL","C",1878,2023,"AUTODESK INC",7370,9912,1855,906,214,253.81,0.0914043583535109,54315.34,29.2805067385445,0.0914043583535109,29.2805067385445
"A","USD","STD","INDL","C",1891,2023,"AUTOMATIC DATA PROCESSING",7374,50971,3509.1,3412,412.1,219.79,0.0669400247199388,90575.459,25.8115924311077,0.0669400247199388,25.8115924311077
"A","USD","STD","INDL","C",1913,2023,"AVERY DENNISON CORP",2670,8209.8,2127.9,503,80.496,202.16,0.0612682403956247,16273.07136,7.64747937403073,0.0612682403956247,7.64747937403073
"A","USD","STD","INDL","C",1919,2023,"AVNET INC",5065,12477.159,4751.669,770.828,91.504,50.45,0.0617791277645817,4616.3768,0.971527435938825,0.0617791277645817,0.971527435938825
"A","USD","STD","INDL","C",1926,2023,"AZZ INC",3470,2195.505,934.491,101.607,25.102,72.8,0.0462795575505408,1827.4256,1.9555304438459,0.0462795575505408,1.9555304438459
"A","USD","STD","INDL","C",1932,2023,"BRITISH AMER TOBACCO PLC",2111,151220.441,64812.218,-18300.685,2230.456,29.29,-0.121019915554935,65330.05624,1.00798982438774,-0.121019915554935,1.00798982438774
"A","USD","STD","INDL","C",1968,2023,"BADGER METER INC",3824,716.919,516.482,92.598,29.347,154.37,0.129161034928632,4530.29639,8.77145067979136,0.129161034928632,8.77145067979136
"A","USD","STD","INDL","C",1979,2023,"BALCHEM CORP  -CL B",2860,1597.211,1053.984,108.543,32.255,148.75,0.0679578339993902,4797.93125,4.55218603887725,0.0679578339993902,4.55218603887725
"A","USD","STD","INDL","C",1988,2023,"BALL CORP",3411,19303,3769,707,315.69,57.52,0.0366264311246956,18158.4888,4.81785322366675,0.0366264311246956,4.81785322366675
"I","USD","STD","INDL","C",2049,2023,"BARNES GROUP INC",3490,3308.014,1362.263,15.996,50.687,32.63,0.00483552971662151,1653.91681,1.21409508296122,0.00483552971662151,1.21409508296122
